Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,10k,Resistor_SMD:R_0805_2012Metric,15.0000mm,8.0000mm,0.0,Top
R2,10k,Resistor_SMD:R_0805_2012Metric,15.0000mm,17.0000mm,0.0,Top
