Comment,Designator,Footprint,LCSC Part #
8MHz,Y1,Crystal:Crystal_HC49-4H_Vertical,C114147
SWD-6,J1,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,C37208
