Comment,Designator,Footprint,LCSC Part #
100nF,"C1,C2,C3,C4",Capacitor_SMD:C_0402_1005Metric,C1525
10k,"R10,R11,R12",Resistor_SMD:R_0402_1005Metric,C25744
16MHz,Y1,Crystal:Crystal_HC49-U_Vertical,C13738
16nF,"C10,C11",Capacitor_SMD:C_0402_1005Metric,
22pF,"C5,C6",Capacitor_SMD:C_0402_1005Metric,
Button,"SW1,SW2,SW3,SW4",Button_Switch_SMD:SW_SPST_TL3342,C318884
Joystick,J2,Module:Joystick_Analog,C50950
MCU,U1,Package_QFP:TQFP-32_7x7mm_P0.8mm,C44854
TYPE-C,J1,Connector_USB:USB_C_Receptacle_GCT_USB4105,C165948
