holdout_seed,n_train,n_test,n_pos_test,auc,ap,brier
voltage_divider,91,40,28,0.7946428571428571,0.8301820823163981,0.27675602328487614
charlieplex_3x3,91,40,4,0.8958333333333334,0.5416666666666666,0.0713033138481611
usb_joystick,106,25,0,,,0.06662509576188902
stm32_devboard,106,25,0,,,3.2467473191328005e-05
matchgroup_test,130,1,0,,,0.502910903065644
